Address  Disassembly                                     String                                                                                                                                                                                                                                                                                   
772900C7 push ntdll.772900D5                             "[Pj"
772A436D imul ebp,dword ptr fs:[esi+67],73206120         "tWaitStateChange: DbgBreakpointWaitStateChange\n"
772A43F3 imul ebp,dword ptr fs:[esi+67],73206120         "tWaitStateChange: DbgBreakpointWaitStateChange\n"
772A4B52 imul esi,dword ptr ds:[ecx+ebp*2+63],73206C61   "hNtWow64CsrGetProcessId(409) end: RetVal: %x\n"
772A4C3C imul esi,dword ptr ds:[ecx+ebp*2+63],73206C61   "hNtWow64CsrGetProcessId(409) end: RetVal: %x\n"
772A4CDC imul esi,dword ptr ds:[ecx+ebp*2+63],73206C61   "hNtWow64CsrGetProcessId(409) end: RetVal: %x\n"
772A5007 and eax,7720786C                                L"ation requested may not be performed on the specified group because it is a built-in special group.\r\n"
772A6456 imul ebp,dword ptr ds:[esi+67],shell32.75423E2D "`<"
772A7D81 imul ebp,dword ptr ds:[edi+6E],shell32.75423E2D "`<"
772A8FE6 and byte ptr ds:[73202C70],ah                   &L"\\REGISTRY\\MACHINE\\SOFTWARE\\Wow6432Node"
772A902A and byte ptr ds:[73202C70],ah                   &L"\\REGISTRY\\MACHINE\\SOFTWARE\\Wow6432Node"
772AA2B2 imul esi,dword ptr ds:[ecx+ebp*2+63],73206C61   "hNtWow64CsrGetProcessId(409) end: RetVal: %x\n"
772AA346 imul esi,dword ptr ds:[ecx+ebp*2+63],73206C61   "hNtWow64CsrGetProcessId(409) end: RetVal: %x\n"
772AA35E imul esi,dword ptr ds:[ecx+ebp*2+63],73206C61   "hNtWow64CsrGetProcessId(409) end: RetVal: %x\n"
772AF734 mov eax,dword ptr ds:[7738020C]                 "0$W"
772AF739 mov ecx,ntdll.7738020C                          "0$W"
772AFB01 push ntdll.772AFB28                             L"API-"
772B0768 mov eax,dword ptr ds:[77386BF0]                 &"(null)"
772B07A4 mov eax,dword ptr ds:[77386BF0]                 &"(null)"
772B0840 mov eax,dword ptr ds:[77386BF4]                 &L"(null)"
772B6279 movzx edx,word ptr ds:[ecx*8+772B62E6]          &"lient UrlCache MMF Ver 5.2"
772B62B6 movzx eax,word ptr ds:[ecx+772B62E6]            &"lient UrlCache MMF Ver 5.2"
772B80BF cmp dword ptr ds:[7738208C],edi                 &"?\f"
772B80DA mov ecx,dword ptr ds:[7738208C]                 &"?\f"
772B8107 push ntdll.772A98F6                             "RtlUnlockHeap"
772B8165 push ntdll.772A98EA                             "RtlLockHeap"
772B952B mov ebx,ntdll.772B95B8                          "TpIsTimerSet"
772B9530 mov esi,ntdll.772B2798                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
772B9542 mov edi,ntdll.772B27C4                          "TppTimerpValidateTimer"
772B95C4 add byte ptr ds:[eax+4E9090],dl                 L" is invalid.!Send Mail failed to send message."
772B968E mov edi,ntdll.772B96DC                          L"__CD__"
772B993E mov ecx,dword ptr ds:[773800C8]                 "0$W"
772BA08C mov eax,dword ptr ds:[77380214]                 "8$W"
772BA14D cmp eax,ntdll.77380214                          "8$W"
772BA750 mov eax,dword ptr ds:[772BA83C]                 &L"\\??\\"
772BAEFD push ntdll.772A8E18                             L"S-1-"
772BB1DC push ntdll.772A56BA                             L"\\REGISTRY\\USER\\"
772BB977 mov dword ptr ds:[ecx],ntdll.772C0E90           "Actx "
772BBC4B mov ecx,ntdll.772A4298                          "Referencing"
772BBDF5 mov esi,dword ptr ds:[7738020C]                 "0$W"
772BBDFB mov edi,ntdll.7738020C                          "0$W"
772BBF57 mov esi,dword ptr ds:[7738020C]                 "0$W"
772BBF60 cmp esi,ntdll.7738020C                          "0$W"
772BC44F mov ebx,ntdll.772A29DA                          "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772BC6F5 mov dword ptr ds:[esi],ntdll.7738020C           "0$W"
772BC70F mov dword ptr ds:[eax],ntdll.77380214           "8$W"
772BCA16 mov dword ptr ss:[ebp-38],ntdll.772A8A5A        L"LdrpResGetMappingSize Enter"
772BCA2B mov dword ptr ss:[ebp-40],ntdll.772A8A24        L"LdrpResGetMappingSize Exit"
772BCBDD mov dword ptr ss:[ebp-34],ntdll.772A8BC2        L"LdrpResGetResourceDirectory Enter"
772BCBF2 mov dword ptr ss:[ebp-40],ntdll.772A8B80        L"LdrpResGetResourceDirectory Exit"
772BCD7B mov dword ptr ss:[ebp-48],ntdll.772A8DC8        L"LdrResSearchResource Enter"
772BCD90 mov dword ptr ss:[ebp-50],ntdll.772A8D94        L"LdrResSearchResource Exit"
772BCFA6 mov dword ptr ss:[ebp-120],ntdll.772A8CC2       L"LdrpResSearchResourceMappedFile Enter"
772BCFC4 mov dword ptr ss:[ebp-138],ntdll.772A8C78       L"LdrpResSearchResourceMappedFile Exit"
772BD22C mov dword ptr ss:[ebp-6C],ntdll.772A8AE6        L"LdrpResSearchResourceInsideDirectory Enter"
772BD241 mov dword ptr ss:[ebp-74],ntdll.772A8A92        L"LdrpResSearchResourceInsideDirectory Exit"
772BDE4D cmp esi,dword ptr ds:[773800C8]                 "0$W"
772BE41B mov ebx,ntdll.772A44AE                          "LdrpHandleOneNewFormatImportDescriptor"
772BE420 mov edi,ntdll.772A3FEE                          "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
772BE5EC push 7FFE0030                                   L"C:\\Windows"
772BE609 mov esi,ntdll.772A3FDC                          L"SysWOW64"
772BE656 mov eax,7FFE0030                                L"C:\\Windows"
772BE9A4 mov ebx,ntdll.772A458A                          "LdrpHandleOneOldFormatImportDescriptor"
772BE9A9 mov edi,ntdll.772A3FEE                          "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
772BEB4D mov ebx,ntdll.772A2C66                          "d:\\w7rtm\\minkernel\\ntdll\\ldrfind.c"
772BF74B push ntdll.77380244                             L"Unknown"
772BF75F mov word ptr ds:[esi*2+77380244],ax             L"Unknown"
772BF783 push ntdll.77380284                             L"WSHGetBroadcastSockaddr"
772BF794 mov word ptr ds:[esi*2+77380284],ax             L"WSHGetBroadcastSockaddr"
772BF7B2 mov eax,ntdll.772A41FE                          "Unknown"
772C00CB mov esi,dword ptr ds:[7738020C]                 "0$W"
772C00D7 cmp esi,ntdll.7738020C                          "0$W"
772C0CAA mov ebx,dword ptr ds:[7738020C]                 "0$W"
772C0CB2 cmp ebx,ntdll.7738020C                          "0$W"
772C12D2 mov ecx,ntdll.772A42A4                          "Dereferencing"
772C3FBF mov edx,dword ptr ds:[7FFE03B0]                 "zu_"
772C3FE6 mov esi,dword ptr ds:[7FFE03B0]                 "zu_"
772C40D4 mov ebx,ntdll.772B2798                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
772C426A mov eax,dword ptr ds:[7FFE03B0]                 "zu_"
772C4297 mov edx,dword ptr ds:[7FFE03B0]                 "zu_"
772C42FE mov ebx,ntdll.772C4194                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
772C442C mov ebx,ntdll.772C44C0                          "TpSetTimer"
772C4431 mov esi,ntdll.772B2798                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
772C4443 mov edi,ntdll.772B27C4                          "TppTimerpValidateTimer"
772C454F mov eax,dword ptr ds:[7FFE03B0]                 "zu_"
772C457E mov edx,dword ptr ds:[7FFE03B0]                 "zu_"
772C4976 mov esi,dword ptr ds:[7FFE03B0]                 "zu_"
772C4997 mov ebx,dword ptr ds:[7FFE03B0]                 "zu_"
772C4A25 mov eax,dword ptr ds:[7FFE03B0]                 "zu_"
772C4A4A mov edi,dword ptr ds:[7FFE03B0]                 "zu_"
772C4D6B mov edi,ntdll.772C4DA0                          "TppCleanupGroupMemberAddCallback"
772C4D70 mov esi,ntdll.772C4D28                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\cgrpmem.c"
772C4DD6 mov edi,ntdll.772C4E10                          "TppCleanupGroupMemberCompleteCallbacks"
772C4DDB mov esi,ntdll.772C4D28                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\cgrpmem.c"
772C4ED7 mov edi,ntdll.772C4FAC                          "TppCallbackMayRunLongProlog"
772C4EDC mov ebx,ntdll.772C4E90                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\callback.c"
772C4FDD mov edi,ntdll.772C5048                          "TpCallbackIndependent"
772C4FE2 mov esi,ntdll.772C4E90                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\callback.c"
772C594E mov ebx,ntdll.772C4194                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
772C59C4 mov ebx,ntdll.772C5A68                          "TppWaitpExecuteCallback"
772C59C9 mov edi,ntdll.772C4168                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
772C5AFA mov edi,ntdll.772C5B3C                          "TppWaitComplete"
772C5AFF mov esi,ntdll.772C4168                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
772C5B8C mov ebx,ntdll.772C5C28                          "TppTimerpExecuteCallback"
772C5B91 mov edi,ntdll.772B2798                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
772C5D1A mov ebx,ntdll.772C5D84                          "TppTimerpUpdate"
772C5DAA mov ebx,ntdll.772B2798                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
772C5E42 mov ebx,ntdll.772C4E90                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\callback.c"
772C5F20 mov ebx,ntdll.772C5F7C                          "TppTimerpDequeueTimer"
772C5F25 mov edi,ntdll.772B2798                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
772C6343 mov esi,dword ptr ds:[77380024]                 "x%W"
772C656D mov ecx,dword ptr ds:[7FFE03B0]                 "zu_"
772C6595 mov edi,dword ptr ds:[7FFE03B0]                 "zu_"
772C6F59 push ntdll.772A5FAA                             L"\\Registry\\Machine\\Software\\Microsoft\\SQMClient\\Windows\\DisabledSessions\\"
772C6FA2 push ntdll.772A603C                             L"GlobalSession"
772C7001 push ntdll.772A5FAA                             L"\\Registry\\Machine\\Software\\Microsoft\\SQMClient\\Windows\\DisabledSessions\\"
772C7051 push ntdll.772A5F86                             L"MachineThrottling"
772C71E8 push ntdll.772A5E48                             L"svchost.exe"
772C7320 push ntdll.772A5E60                             L"\\Registry\\Machine\\Software\\Microsoft\\SQMClient\\Windows\\DisabledProcesses\\"
772C79D9 mov dword ptr ss:[ebp-34],ntdll.772A8C3E        L"LdrResFallbackLangList Enter"
772C79E4 mov dword ptr ss:[ebp-3C],ntdll.772A8C06        L"LdrResFallbackLangList Exit"
772C7BC7 mov dword ptr ss:[ebp-8],ntdll.772A8B3C         L"RtlpResUltimateFallbackInfo Enter"
772C7C6B mov dword ptr ss:[ebp-48],ntdll.772A8712        L"MUI"
772C7C95 mov dword ptr ss:[ebp-30],ntdll.772A8954        L"LdrResGetRCConfig Enter"
772C7CAA mov dword ptr ss:[ebp-38],ntdll.772A8926        L"LdrResGetRCConfig Exit"
772C7EA1 push ntdll.772A8712                             L"MUI"
772C7FFB mov edi,ntdll.772C809C                          "TpBindFileToDirect"
772C8000 mov esi,ntdll.772D9788                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
772C82F9 mov esi,ntdll.772A489E                          L".Local"
772C8673 push ntdll.772C83C0                             L"{%08lx-%04x-%04x-%02x%02x-%02x%02x%02x%02x%02x%02x}"
772C8A72 movsx eax,word ptr ds:[eax*2+772DCEA0]          &L"rige)"
772C91A9 mov esi,ntdll.772BA840                          L"\\??\\"
772C92DD mov esi,dword ptr ds:[77380024]                 "x%W"
772C92E4 mov dword ptr ds:[77380024],eax                 "x%W"
772CB629 push ntdll.772A9CF6                             L"%s"
772CB79F push ntdll.772C83C0                             L"{%08lx-%04x-%04x-%02x%02x-%02x%02x%02x%02x%02x%02x}"
772CBC35 push ntdll.772A9C7C                             L"%u.%u.%u.%u"
772CCD2E mov edi,ntdll.772A991A                          "RtlValidateHeap"
772CD0D0 push ntdll.772A9C12                             L"::"
772CD1C9 push ntdll.772A9C08                             L"%x"
772CD2A4 push ntdll.772A9C6E                             L"%%%u"
772CE85B push ntdll.772A33F6                             "SE_InstallBeforeInit"
772CE88B push ntdll.772A33E2                             "SE_InstallAfterInit"
772CE8B6 push ntdll.772A33D4                             "SE_DllLoaded"
772CE8E1 push ntdll.772A33C4                             "SE_DllUnloaded"
772CE90C push ntdll.772A33B0                             "SE_LdrEntryRemoved"
772CE937 push ntdll.772A339A                             "SE_GetProcAddressLoad"
772CE962 push ntdll.772A338A                             "SE_ProcessDying"
772CECA9 push ntdll.772A9C6E                             L"%%%u"
772CED28 mov eax,dword ptr ds:[772CEB14]                 &L"\\??\\UNC\\"
772CEF4B mov esi,ntdll.772CEF84                          L"\\\\.\\"
772CFF21 mov eax,dword ptr ds:[7738208C]                 &"?\f"
772D044A mov ebx,ntdll.772D04BC                          "TppWaiterEnqueueTransition"
772D044F mov edi,ntdll.772C4194                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
772D05EA mov esi,ntdll.772C4168                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
772D05FC mov edi,ntdll.772D02F8                          "TppWaitpValidateWait"
772D0840 mov edi,ntdll.772D0674                          "TppWaiterAllocWaitSlot"
772D0845 mov esi,ntdll.772C4194                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
772D0CA9 mov edi,ntdll.772A3C6E                          "LdrpInitializeProcess"
772D0CAE mov esi,ntdll.772A3010                          "d:\\w7rtm\\minkernel\\ntdll\\ldrinit.c"
772D0FA7 push ntdll.772A3A80                             L"!Process"
772D0FAC push ntdll.772A3A72                             L"NTDLL!"
772D1023 push 7FFE0030                                   L"C:\\Windows"
772D11DC push dword ptr ds:[esi+772D1288]                &L"ProgramFiles"
772D11EE push dword ptr ds:[esi+772D1290]                &L"ProgramW6432"
772D120C push dword ptr ds:[esi+772D128C]                &L"ProgramFiles(x86)"
772D148F add byte ptr ss:[esp+edx+5C772D],dl             "11.2.1.14"
772D14BC mov esi,dword ptr ds:[7738020C]                 "0$W"
772D14C3 cmp esi,ntdll.7738020C                          "0$W"
772D14E9 cmp esi,ntdll.7738020C                          "0$W"
772D15D3 mov dword ptr ds:[77380024],eax                 "x%W"
772D1651 mov dword ptr ds:[esi],ntdll.7738020C           "0$W"
772D1668 mov dword ptr ds:[eax],ntdll.77380214           "8$W"
772D18FA push ntdll.772A3F66                             L"\\Software\\Policies\\Microsoft\\Windows\\Safer\\CodeIdentifiers"
772D1B21 push ntdll.772A9164                             L"ntdll.dll"
772D1B96 push dword ptr ds:[esi+772D128C]                &L"ProgramFiles(x86)"
772D1C50 mov dword ptr ds:[773801AC],esi                 &L"C:\\Windows\\syswow64"
772D1C94 mov dword ptr ds:[773801A4],eax                 &L"C:\\Users\\ADMIN\\AppData\\Local\\msacm32;;C:\\Windows\\system32;C:\\Windows\\system;C:\\Windows;.;C:\\Windows\\system32;C:\\Windows;C:\\Windows\\System32\\Wbem;C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\"
772D1CD2 mov dword ptr ds:[773800C8],eax                 "0$W"
772D1E32 push ntdll.772A38EA                             L"\\SysWOW64\\"
772D1E53 mov eax,dword ptr ds:[772D1FB4]                 &L"ntdll.dll"
772D1F8B push dword ptr ds:[773800C8]                    "0$W"
772D1FA2 mov eax,dword ptr ds:[7738020C]                 "0$W"
772D1FA7 mov ecx,ntdll.7738020C                          "0$W"
772D25D8 push ntdll.772D2660                             L"Cleanup Group"
772D25DD push ntdll.772D2644                             L"Threadpool!"
772D28CA mov dword ptr ss:[ebp-D8],ntdll.772A3CD8        "BaseQueryModuleData"
772D28F8 mov eax,ntdll.7738020C                          "0$W"
